state,year,age_group,enrolment_count
100000,2025,Age 5–17,1
Andaman & Nicobar Islands,2025,Age 5–17,5
Andaman And Nicobar Islands,2025,Age 5–17,27
Andhra Pradesh,2025,Age 5–17,13414
Arunachal Pradesh,2025,Age 5–17,2176
Assam,2025,Age 5–17,64834
Bihar,2025,Age 5–17,327043
Chandigarh,2025,Age 5–17,210
Chhattisgarh,2025,Age 5–17,18158
Dadra & Nagar Haveli,2025,Age 5–17,3
Dadra And Nagar Haveli,2025,Age 5–17,70
Dadra And Nagar Haveli And Daman And Diu,2025,Age 5–17,20
Daman & Diu,2025,Age 5–17,1
Daman And Diu,2025,Age 5–17,13
Delhi,2025,Age 5–17,21971
Goa,2025,Age 5–17,253
Gujarat,2025,Age 5–17,70270
Haryana,2025,Age 5–17,8897
Himachal Pradesh,2025,Age 5–17,650
Jammu & Kashmir,2025,Age 5–17,20
Jammu And Kashmir,2025,Age 5–17,7782
Jharkhand,2025,Age 5–17,56142
Karnataka,2025,Age 5–17,33398
Kerala,2025,Age 5–17,18360
Ladakh,2025,Age 5–17,133
Lakshadweep,2025,Age 5–17,10
Madhya Pradesh,2025,Age 5–17,115172
Maharashtra,2025,Age 5–17,81069
Manipur,2025,Age 5–17,7895
Meghalaya,2025,Age 5–17,53089
Mizoram,2025,Age 5–17,1259
Nagaland,2025,Age 5–17,9856
Odisha,2025,Age 5–17,21647
Orissa,2025,Age 5–17,580
Pondicherry,2025,Age 5–17,79
Puducherry,2025,Age 5–17,114
Punjab,2025,Age 5–17,12175
Rajasthan,2025,Age 5–17,110131
Sikkim,2025,Age 5–17,1030
Tamil Nadu,2025,Age 5–17,36214
Telangana,2025,Age 5–17,24035
The Dadra And Nagar Haveli And Daman And Diu,2025,Age 5–17,141
Tripura,2025,Age 5–17,3597
Uttar Pradesh,2025,Age 5–17,473205
Uttarakhand,2025,Age 5–17,5410
West  Bengal,2025,Age 5–17,6
West Bangal,2025,Age 5–17,3
West Bengal,2025,Age 5–17,90321
Westbengal,2025,Age 5–17,3
100000,2025,Age 18+,213
Andaman & Nicobar Islands,2025,Age 18+,0
Andaman And Nicobar Islands,2025,Age 18+,0
Andhra Pradesh,2025,Age 18+,1465
Arunachal Pradesh,2025,Age 18+,150
Assam,2025,Age 18+,22555
Bihar,2025,Age 18+,11799
Chandigarh,2025,Age 18+,33
Chhattisgarh,2025,Age 18+,1962
Dadra & Nagar Haveli,2025,Age 18+,0
Dadra And Nagar Haveli,2025,Age 18+,4
Dadra And Nagar Haveli And Daman And Diu,2025,Age 18+,19
Daman & Diu,2025,Age 18+,0
Daman And Diu,2025,Age 18+,0
Delhi,2025,Age 18+,3023
Goa,2025,Age 18+,156
Gujarat,2025,Age 18+,16063
Haryana,2025,Age 18+,1076
Himachal Pradesh,2025,Age 18+,178
Jammu & Kashmir,2025,Age 18+,0
Jammu And Kashmir,2025,Age 18+,522
Jharkhand,2025,Age 18+,1412
Karnataka,2025,Age 18+,10038
Kerala,2025,Age 18+,2640
Ladakh,2025,Age 18+,18
Lakshadweep,2025,Age 18+,1
Madhya Pradesh,2025,Age 18+,9476
Maharashtra,2025,Age 18+,8103
Manipur,2025,Age 18+,260
Meghalaya,2025,Age 18+,35078
Mizoram,2025,Age 18+,471
Nagaland,2025,Age 18+,1120
Odisha,2025,Age 18+,726
Orissa,2025,Age 18+,0
Pondicherry,2025,Age 18+,0
Puducherry,2025,Age 18+,44
Punjab,2025,Age 18+,3117
Rajasthan,2025,Age 18+,5483
Sikkim,2025,Age 18+,105
Tamil Nadu,2025,Age 18+,1202
Telangana,2025,Age 18+,1145
The Dadra And Nagar Haveli And Daman And Diu,2025,Age 18+,27
Tripura,2025,Age 18+,246
Uttar Pradesh,2025,Age 18+,17699
Uttarakhand,2025,Age 18+,338
West  Bengal,2025,Age 18+,0
West Bangal,2025,Age 18+,0
West Bengal,2025,Age 18+,8495
Westbengal,2025,Age 18+,0
